Timestamp,Who is extracting data?,Title of Article,1st Author Last Name,Year of Publication,Journal,"Country of Healthcare Worker Data (If not provided, type NA)",What types of healthcare worker roles were included?,What was the type of healthcare facility?,Does it address cleaning and disinfection activities posing asthma risks to workers?,Does it address measurements (frequency and/or concentration) of cleaning/disinfection exposures during cleaning and disinfection in healthcare environments? (or animal studies),Does it capture asthma rates among healthcare workers with cleaning and disinfection activities as a potential risk factor?,Does the article address concentration of an exposure to cleaning and disinfection?,Describe the methods used.,What were the findings?,Does the article address frequency of cleaning and disinfection activity?,Describe the relationship (capture big picture and mention if quantitative data are available),"Were there differences across healthcare worker role or task described? If so, describe.",Does the article include likelihood or asthma rates as a a function of concentration of the exposure?,Describe the relationship.,"Were differences across healthcare worker role or task described? If so, describe.",Does the article include likelihood or asthma rate as a function of frequency of cleaning and disinfection activity?,Describe the relationship,"Were differences across healthcare worker role or task described? If so, describe.",Does the article include types of chemical products?,"If so, please list the products or chemical types that are mentioned.",Were differences in exposure or asthma across different chemical types mentioned/described?,"Does the article include the phrase, ""dose-response""?",Notes on dose-response related concepts,Does the article address the number of years working in healthcare industry before asthma symptom onset?,What summary statistics on latency are provided? Please provide the summary statistics.,Does the article address the number of years working in the healthcare industry and asthma rates outcome among participants?,What was the relationship between # of years working in healthcare and asthma rates?,"Does the article include the term, ""latency""?",Notes on latency related concepts,Does the article include details regarding asthma outcome diagnosis?,How was asthma diagnosed or measured?,Does the article include details regarding the use of a diagnostic measurement?,What diagnostic measurement was used?,Does the article include details regarding the use of a questionnaire tool to measure asthma?,What questionnaire tool(s) was (were) used? Were the tools validated?,Does the article include details regarding self-reporting of physician diagnosed asthma?,How was the self reporting conducted?,Does the article include asthma rates or rate of another asthma outcome among healthcare workers?,What were the findings?,"Were differences across healthcare worker role or task described? If so, describe.",Notes on asthma diagnosis and/or reported rates.
2022/04/25 4:32:47 AM MDT,Olusola,Occupational exposure to cleaning products and asthma in hospital workers,Dumas,2013,"Occup Environ Med
",France,"Not specified

Hospital workers or cleaners in hospitals",Hospitals,Yes,Yes,No,No,,,Yes,"According to self-report, 88% of the women and 80% of the men working in hospital were exposed weekly to cleaning/ disinfecting tasks (p=0.19). According to expert assessment, these proportions were respectively 81% and 55% (p < 0.001). Among those exposed weekly, women were exposed at higher frequency (80% women exposed 4-7 days/week vs 68% men, p=0.22) and at significantly higher intensity (57%) women with moderate to high intensity vs 23% men, p = 0.004) compared with men.",No,No,NA,No,Yes,"In women, the number of different products used weekly (expert assessment) varied from one to nine (out of 10 products included) and the median was 4. 

No association was observed between the number of product used and current asthma (<4 products: 0.77 (0.39-1.56); >4 products: 1.11 (0.64 - 1.92)). 

Analyses taking into account the number of different products used at a moderate to high intensity did not show significant associations neither. 

The products most commonly used according to the expert assessment were alcohol (84%) and quaternary ammonium compounds (71%). The highest frequency of exposure (4-7 days/week) was observed in most women classified as exposed (>1 day/week), for each task or product studied. In analyses of the associations between current asthma and exposure to cleaning tasks or products 4-7 days/week, only slightly higher and non-significant ORs were observed.

In analyses taking intensity of exposure into account, OR were increased for moderate to high intensity of exposure to cleaning/disinfecting tasks, bleach, and quaternary ammonium compounds, and an OR of 2.06 was observed for sprays (p=0.10), but no significant association was observed. For ammonia and decalcifiers, all exposed subjects had a low intensity of exposure.",No,Yes,"Bleach, quaternary ammonium, chlorexidine, ammonia, formaldehyde, alcohol, glycol ether, sprays, decalcifiers
",Yes,Yes,"In the current study, associations between cleaning products and asthma were not importantly modified after taking into account higher frequency of exposure and the number of different products used. Power issues have limited the possibility to investigate dose-response relationships.

In the current study, moderate to high intensity of exposure to cleaning sprays was associated with current asthma, consistently with a dose-response relationship previously observed for the use of cleaning sprays at home.",No,,No,,No,NA,No,,No,,Yes,"Two job-specific questionnaires were used. Both questionnaires were adapted from the European Community Respiratory Health Survey (ECRHS) questionnaire.
",No,,No,,,NA
2022/04/25 4:38:20 AM MDT,Olusola,A workforce-based study of occupational exposures and asthma symptoms in cleaning workers,Vizcaya,2011,"Occup Environ Med
",Spain,"The focus of the article was not health workers.

Responents were employees of 37
cleaning companies in Barcelona",NA,Yes,No,No,No,,,No,,,No,NA,No,No,NA,No,Yes,"Bleach, degreasers, glass cleaners, perfumed products, air freshners, mop products, hydrochloric acid, ammonia, polishes/waxes, solvents carpet cleaners
",Yes,Yes,"The number of
different cleaning products used and the number of different
workplaces are variables indicative of the degree of exposure
including the variety of cleaning products used, heterogeneity of
tasks and hours of work. Both were associated with respiratory
symptoms. These apparent doseeresponse relationships
strengthen the observation that respiratory symptoms are
associated with exposure to irritant cleaning products.",No,,No,,No,NA,Yes,"Data were collected using a self-administered questionnaire that
solicited information about respiratory symptoms, work
activities, cleaning-related exposures, smoking habits and
demographic characteristics.

Current asthma was determined by an affirmative answer to at
least one of the following three questions: (a) Have you been
woken by an attack of shortness of breath at any time in the last
12 months? (b) Have you had an attack of asthma in the last
12 months? and (c) Are you currently taking any medicines
including inhalers, aerosols or tablets for asthma?",No,,Yes,"Data were collected using a self-administered questionnaire that
solicited information about respiratory symptoms, work
activities, cleaning-related exposures, smoking habits and
demographic characteristics. Respiratory symptom questions
were taken from the Spanish version of the European Community
Respiratory Health Survey questionnaire. 

No mention of questionnaire validation",No,,No,,,"Even though the focus of the paper was not health workers, the article reported that current asthma was significantly increased among cleaners who had worked in hospitals during the last year. 

Additional details are on table 3, page 917."
2022/04/25 4:42:53 AM MDT,Olusola,Occupational asthma and rhinitis due to detergent enzymes in healthcare,Adisesh,2011,"Occupational Medicine
",NA,"Sterile services department (SSD) technicians and gastro-
enterology unit staff",NA,Yes,No,No,No,,,No,,,No,NA,No,No,NA,No,Yes,"Different enzyme detergent products were in use.
3-Ezyme, Enzycare 2, Neozyme, Klerzyme, Prozyme",No,No,NA,Yes,"Case A worked in SSD for 16 years
and had developed asthma symptoms 4 years previously
with a history of rhinitis for 2 years preceding this.",No,,No,NA,Yes,"IgE tests, spirometry 
",No,,No,,No,,No,,,"NA

This article is a clinical case report"
2022/04/25 4:47:22 AM MDT,Olusola,Work-Related Asthma in Health Care in Ontario,Liss,2011,"AMERICAN JOURNAL OF INDUSTRIAL MEDICINE
",Canada,"Registered nurses, nursing assistants, medical
and radiation technologists, cleaners, laborers and clerks/receptionists",NA,Yes,No,Yes,No,,,No,,,No,NA,No,No,NA,No,Yes,"Natural
rubber latex (NRL), and glutaraldehyde/photographic chemicals",No,No,NA,Yes,"The two NRL
cases occurred in nurses who had worked for>10 years prior to ‘‘date of accident.

Case 1 had started work in this
location 13 years prior to year of ‘‘onset’’ likely using
powdered gloves at that time. She had a 6-year history of
cough worse at work, so the date of onset of sensitization is
not clear but may have been considerably earlier than 2000.",No,,No,NA,No,,No,,No,,No,,Yes,"Five claims were allowed for sensitizer-induced OA and 115 for WEA. Compared to the
rest of the province, claims in health care made up a significantly greater proportion of WEA claims (17.8%) than did OA (5.1%) (OR 4.1; 95% CI 1.6–11.6; P = 0.002)

The most frequent industry for WEA in
the province was the health care industry. The rate of allowed
claims for WEA was significantly greater in health care than
in the rest of the workforce (RR 2.1, 95% CI 1.7–2.6;
P < 0.0001)",No,NA
2022/05/03 2:34:49 PM MDT,Amanda,A case of occupational bronchial asthma and contact dermatitis caused by ortho-phthalaldehyde exposure in a medical worker,Fujita,2006,Journal of Occupational Health,Japan,nurse,"Hospital, endoscopy",Yes,Yes,No,Yes,"Used active sampling (1.0 L/min for 30 min using a 2,4-dinitrophenylhydrazine-silica cartridge (LpDNPH S10, Spelco, Bellfonte, PA, USA))",Highest conc by bucket - detected outside of room,No,,,No,,,No,,,Yes,ortho-phthalaldehyde (OPA),No,No,,Yes,Started using new solution in March 2003 - symptoms started in Dec 2003,No,,Yes,,Yes,"based on laboratory examination, check-up findings and the effects of treatment; strong relationship between symptoms and work environment (can diagnose as occupational)",No,,No,,No,,No,,,
2022/05/03 2:45:13 PM MDT,Amanda,Occupational eosinophilic bronchitis without asthma due to chloramine exposure,Krakowiak,2005,Occupational Medicine,Poland,nurse,Hospital,Yes,No,No,No,,,No,,,No,,,No,,,Yes,chloramine,No,No,,No,,No,,No,,Yes,(did not have asthma - remove?) evaluation of specific serum IgE; bronchial response from FEV1s in ,Yes,"FEV1s, PEF, HBR test, SIC",No,,No,,No,,,
2022/05/03 3:00:07 PM MDT,Amanda,"Work-related asthma among health care workers: Surveillance data from California, Massachusetts, Michigan, and New Jersey, 1993–1997",Pechter,2005,American Journal of Industrial Medicine,U.S.,Not specified,"Listed in Table 1 (hospitals, offices and clinics of doctors and health practitioners, skilled nursing care facilities, offices and clinics of dentists, medical laboratories, home health care services, elementary and secondary schools, local passenger transportation (ambulance), specialty outpatient facilities, kidney dialysis centers, and other",No,No,No,No,,,No,,,No,,,No,,,Yes,"quaternary ammonium compounds, latex, formaldehyde, glutaraldehyde",Yes,No,Table 4 describes # of exposures across type,Yes,scale of months (ethylene bisphenyldiisocyanate (MDI)),No,,No,,Yes,telephone interviews,No,,Yes,medical history,No,,Yes,"Health care workers (HCWs) accounted for 16% (n¼305) of the 1,879 confirmed WRA cases, but only 8% of the states’ workforce. Cases primarily were employed in hospitals and were nurses. ",,
2022/05/03 3:10:11 PM MDT,Amanda,"Physician diagnosed asthma, respiratory symptoms, and associations with workplace tasks among radiographers in Ontario, Canada",Liss,2003,Occupational and Environmental Medicine,Canada,medical radiation technologists (MRTs),doesn't specify,No,No,No,No,,,No,,,No,,,No,,,No,,No,No,,No,,No,,No,,No,,No,,No,,No,,No,,,
2022/05/03 3:47:35 PM MDT,Amanda,"Survey of symptoms, respiratory function, and immunology and their relation to glutaraldehyde and other occupational exposures among endoscopy nursing staff",Vyas,2000,Occupational and Environmental Medicine,United Kingdom,endoscopy nurses,hospitals,Yes,Yes,No,Yes,personal samplers using OSHA method 64; background conc with 200mL/min; shorter periods measured during biocide changeover with personal sampler flow rates of 1 L/min; TWA calculated,Table 5,No,,,Yes,Table 6 - association between peak GA conc and WRS - chronic bronchitis had significant relationship in adjusted model while other WRSs did not.,No,No,,,Yes,glutaraldehyde and succinaldehyde-formaldehyde,No,Yes,"""Conversely there was no dose-response relation between exposure measures and lower respiratory tract symptoms with the exception of chronic bronchitis, which was in fact the least prevalent symptom""",No,,Yes,"Ten of the 12 ex-employees had a latency period of greater than 3 months (range 3
months to 7 years) before the start of one or more of their WRSs of the lower respiratory
tract. Three had latency periods of 3 years or more. Six of 12 with WRSs of the lower respiratory tract recorded symptoms occurring only on workday evenings or nights",Yes,,Yes,"spirometry, peak expiratory flow rate, individual symptom screening with questionnaire, work environment questionnaire",Yes,"Spirometry (FVC, FEV1); PEFR, skin prick tests, total immunoglobulin E (IgE) analyses",Yes,An adaptation of the Medical Research Council respiratory questionnaire and a single work environment questionnaire,No,,Yes,Table 1,,
2022/05/03 4:02:29 PM MDT,Amanda,Glutaraldehyde: an occupational hazard in the hospital setting,Di Stefano,1999,Allergy,Italy,"endoscopy nurse, theatre nurse, radiographic darkroom technician, and pathology laboratory technician",NA,Yes,Yes,No,Yes,"collected with ""sampler worn by the operator in the 'breathing zone'"" - over 20 min during activities likely to produce a peak, 34-120 min to capture intermittent exposures",Table 1 - generally higher conc for personal short-term than personal long-term; Levels of glutaraldehyde from the air samples collected in the workplace at the time of PEFR monitoring are shown in Fig. 1. They were as follows: short-term samples (mean 0.208 mg/m3; median 0.14 mg/m3; range 0.06±0.84 mg/m3); long-term samples (mean 0.071 mg/m3; median 0.07 mg/m3; range 0.003±0.28 mg/m3). The concentration of glutaraldehyde was higher than 0.175 mg/m3 in seven personal short term samples and exceeded 0.7 mg/m3 in two of them. The concentration of glutaraldehyde was below 0.175 mg/ m3 in all but one personal long-term sample,No,,,Yes,The mean level of glutaraldehyde in the air during the challenge tests was 0.075 mg/m3 (range: 0.065± 0.084 mg/m3).,The measurement of glutaraldehyde levels in the workplace at the time of PEFR monitoring showed that only in some cases could exposures have reached an irritant threshold. ,No,,,Yes,Glutaraldehyde,No,No,,Yes,"All of them presented a time interval between first exposure to glutaraldehyde and
onset of respiratory symptoms suggestive of occupational asthma (mean 6.7 years; range 1±20 years). In 10 of them (41.6%), the onset of cough, chest tightness, and wheezing was preceded by nasal symptoms (stuffiness, rhinorrhea, and sneezing) related to glutaraldehyde exposure for a variable interval of time (mean 5.3 years; range 6 months±10 years).",No,,No,,Yes,"PEFR, bronchial challenges, SBPT",Yes,SBPT used to confirm diagnosis,No,,No,,Yes,Diagnosis confirmed in 8 workers (out of total of 24),,
2022/05/03 4:13:05 PM MDT,Amanda,Glutaraldehyde-induced asthma,Quirce,1999,Allergy,Spain,renal dialysis unit nurse,renal dialysis unit,Yes,No,No,Yes,0.064-0.081 mg/m^3 range for bronchial tests,Figure 1 - early asthmatic response after challenge test was repeated a week later,No,,,No,,,No,,,Yes,glutaraldehyde,No,No,,No,,Yes,"We describe a 61-year-old nurse, an ex-smoker, who began working in a renal dialysis unit in 1976. Ten years later, she experienced sporadic and mild episodes of chest tightness and shortness of breath related to exposure to formalin, which was used to sterilize artificial kidney machines. In 1994, formalin was replaced with 2% glutaraldehyde (Cidex1, Johnson & Johnson Medical, Skipton, UK), which she handled daily in an open environment. She was symptomless until February 1998",No,,Yes,"spirometry, IgE levels, recovery after treatment, bronchial challenge test",Yes,"Spirometry revealed FEV1 of 1.88 l (93% predicted), FVC of 2.74 l (112% predicted), and FEV1/FVC of 69%. At that time, the methacholine inhalation test (tidal breathing method) was negative (PC20.16 mg/ml). S",No,,No,,No,,,
2022/05/03 4:30:33 PM MDT,Amanda,Occupational asthma in a technologist exposed to glutaraldehyde,Chan-Yeung,1993,Journal of Allergy and Clinical Immunology,Canada,respiratory technologist,doesn't specify,Yes,Yes,No,No,,,Yes,Fig 2 - consistently lower FEV when exposed to sporicidin vs. when not exposed in workplace challenge,,No,,,No,,,Yes,"sporicidin, containing glutaraldehyde",No,Yes,,Yes,"4 years ago, nurse started and has had asthma worsen since then (was asthmatic before)",No,,No,,Yes,"allergy skin tests, FEV1, PEFR",Yes,challenge test for FEV comparison; PEFR over days of the month when working and when not working,No,,Yes,"""gave a history of asthma since childhood""",No,,,
2022/05/05 4:50:35 PM MDT,Amanda,Occupational formalin asthma,Hendrick,1977,British Journal of Industrial Medicine,United Kingdom,nurses,haemodialysis unit,Yes,Yes,No,No,,,No,,,No,,,No,,,Yes,formalin,No,No,,Yes,case 4: 2 years; case 3: 5 years; case 1: a few months,No,,No,,Yes,inhalation provocation tests,Yes,"Inhalation provocation test and use of PEL; airway function tests (PEF, FEV1, FVC) ",No,,No,,Yes,"In first part of study, 29% (8 people) affected since becoming exposed occupationally to formalin",No,
2022/05/05 5:08:35 PM MDT,Amanda,Are healthcare workers at an increased risk of obstructive respiratory diseases due to cleaning and disinfection agents? A systematic review and meta-analysis,Starke,2021,International Journal of Environmental Research and Public Health,,nurses,a variety (review article),Yes,Yes,Yes,No,,,Yes,"""When a more stringent case definition for COPD is used, the risk is still increased, but it is not statistically significant. The authors also show a positive dose–response effect with the frequency of any disinfectant use (never, less than once a week, 1–3 times a week, 4–7 times a week) but most notably for cleaning surfaces.",,No,,,Yes,increased frequency related to increased rate of COPD,,Yes,wide variety due to being a review article,Yes,Yes,,No,,No,,No,,Yes,"self reported, spirometry, FEV1, PEF, VC, pulmonary tests",No,,Yes,"Describe a questionnaire used by Dumas et al. (2020), one used by Vyas et al., Dumas et al. (2019), mention the Delclos validated questionnaire",No,,Yes,Figures 3-6,,
2022/05/05 5:20:29 PM MDT,Amanda,Occupational use of high-level disinfectants and asthma incidence in early- to mid-career female nurses: a prospective cohort study,Dumas,2021,Occupational and Environmental Medicine,USA and Canada,nurses,,Yes,Yes,Yes,No,,,Yes,"have year level categories of use: never of <1 year, 1-5 years, >5 years, or never or less than 5 years",,No,,,Yes,"In multivariable models, nurses who reported 1–5 years of HLD use did not differ from nurses who reported never using HLD or <1year of use (table 1). In contrast, nurses who reported >5 years of HLD use had a significantly increased risk of incident asthma (adjusted HR (95%CI), 1.38 (1.03 to 1.85)).",,Yes,"high-level disinfectants, glutaraldehyde, ortho-phthalaldehyde, peracetic acid, hydrogen peroxide, other",Yes,No,,No,,No,,No,,Yes,"self reported clinician-diagnosed asthma, definition of incident asthma ""absence of asthma at baseline and report of new clinician-diagnosed asthma in follow-up questionnaires""",No,,Yes,Questionnaire sent every 6 months through the Nurses' Health Study 3 (NHS3),Yes,self reported clinician diagnosed asthma - asked every 6 months,Yes,"Among the 27455 women without asthma at baseline, follow-up data were available for 17280 (63%), who were eligible for the current analysis (online supplemental figure E1). During 67392 person-years of follow-up (mean follow-up: 3.8 years), 391 nurses reported incident clinician-diagnosed asthma. ",,
2022/05/06 10:33:25 AM MDT,Amanda,"The estimated prevalence of exposure to carcinogens, asthmagens, and ototoxic agents among healthcare workers in Australia",Rai,2019,American Journal of Industrial Medicine,"Australia (some from ""Other"" too)","managers, health diagnostic and promotion professionals, health therapy professionals, medical practitioners, midwifery and nursing professionals, health and welfare support workers, personal carers and assistants, cleaners",,Yes,No,Yes,No,,,No,,,No,,,No,,,Yes,"cleaning and sterilizing agents, latex, flowers, bio-aerosols, arthropods, pesticides, biological enzymes, acrylates, ammonia, aldehyde, acids, agents derived from animals, drugs, reactive dyes, epoxy",Yes,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Describes odds of being exposed but not of asthma
2022/05/06 10:44:41 AM MDT,Amanda,Current asthma and asthma-like symptoms among workers at a Veterans Administration Medical Center,Kurth,2017,International Journal of Hygiene and Environmental Health,U.S.,"clinical nurses, office and administrative support, patient care",VA Medical Center,Yes,Yes,Yes,No,,,Yes,days per working as a proxy: less than = to 4 vs. greater than 4,"Table 1 - It appears that a majority of office and administrative support work more than 4 days a week (90.4%) while proportions of those conducting patient care and clinical nurses who work more than 4 days a week are less (clinical nurses: 79.1%, patient care: 81.4%)",No,,,No,,,Yes,"bleach, glass cleaner, detergent",Yes,No,,No,,No,,No,Has info on seniority but not how it relates to asthma outcomes,Yes,"Current asthma was defined as a positive response to each of the following three questions:
“Have you ever had asthma?”, “Was your asthma confirmed/diagnosed by a doctor or a
healthcare professional?”, and “Do you still have asthma?” [(DHHS, 2015; CDC, 2015)]",No,,Yes,"We updated a previously used questionnaire that collected details about demographic
characteristics, respiratory health, and occupational characteristics to include questions on
workplace exposures and tasks (Zeiss et al., 2003)",Yes,"“Have you ever had asthma?”, “Was your asthma confirmed/diagnosed by a doctor or a
healthcare professional?”, and “Do you still have asthma?” [(DHHS, 2015; CDC, 2015)]. ",Yes,"The prevalence of current asthma was 21.9% for clinical nurses, 22.1% for office and
administrative support workers, and 17.6% for patient care workers (Table 2). There were no
significant differences between symptoms for these three occupational groups. ","The prevalence of current asthma was 21.9% for clinical nurses, 22.1% for office and
administrative support workers, and 17.6% for patient care workers (Table 2). There were no
significant differences between symptoms for these three occupational groups.",
2022/05/06 10:52:11 AM MDT,Amanda,Development of a job-task-exposure matrix to assess occupational exposure to disinfectants among U.S. nurses,Quinot,2017,Occupational and Environmental Medicine,U.S.,"emergency room, operating room, intensive care unit, other inpatient nurse, outpatient or community, other hospital nursing, nursing in education or administration","emergency room, operating room, outpatient or community, education or administration",Yes,Yes,No,No,,,Yes,"Describes self reported multiple exposures to numbers of products and intensities of exposures (<1 hour/day, 1-4 hours per day, >4 hours per day), and days per week (<1 day/week, 1-3 days/week, 4-7 days/week)","Table 2. Self-reported exposures varied considerably according to nursing jobs and tasks.
Among emergency room nurses, 38% reported weekly use of hypochlorite bleach and were
classified as highly exposed by the JEM (Table 2). Operating room nurses reported less use
of hypochlorite bleach (24%) than emergency room nurses and were classified with medium
exposure by the JEM. Exposures within a job also varied according to disinfecting tasks. For
example, operating room nurses were assigned a low exposure level to hypochlorite bleach
when they performed no cleaning tasks (weekly use reported by 9% of the nurses); those
who cleaned only surfaces (weekly use: 24%) were assigned a medium exposure level to
hypochlorite bleach; and nurses who cleaned at least instruments (weekly use: 36%) were
assigned a high exposure level.",No,,,No,,,Yes,"alcohol, hypochlorite bleach, peroxide bleach, glutaraldehyde, quaternary ammonium compounds, enzymatic cleaners, formaldehyde, spray",Yes,No,,No,,No,,No,,No,,No,,No,,No,,No,,,
2022/05/06 11:21:57 AM MDT,Amanda,Persistent and unusual respiratory findings after prolonged glutaraldehyde exposure,Copeland,2015,International Journal of Occupational and Environmental Medicine,USA,endoscopy lab worker,endoscopy,Yes,No,No,No,,,No,,,No,,,No,,,Yes,glutaraldehyde,No,No,"Does mention ""dose-dependent effect"" when discussing ref 14",Yes,1 year,No,,Yes,mentions latency in introduction,Yes,"FVC and FEV1, serial spirometry testing",Yes,"Table 1, Figures 1 and 2",No,,No,,No,,,
2022/05/06 12:54:29 PM MDT,Amanda,Cleaning and disinfecting environmental surfaces in health care: Toward an integrated framework for infection and occupational illness prevention,Quinn,2015,American Journal of Infection Control,United States,"nurses, personnel in hospital operating room, environmental services worker, receptionist at medical clinic","Medical clinic, hospital operating room",Yes,No,No,No,,,No,,,No,,,No,,,Yes,parachlorometaxylenol,No,No,"Talks about needs for understanding ""adverse impacts of cleaning and disinfection products and procedures""",No,,No,,No,,No,,No,,No,,No,,No,,,
2022/05/06 1:07:59 PM MDT,Amanda,Asthma among workers in healthcare settings: role of disinfection with quarternary ammonium compounds,Gonzalez,2013,Clinical and Experimental Allergy,France,"nurses, auxiliary nurses, cleaners, administrative, other",,Yes,No,Yes,No,,,No,,,No,,,No,,,Yes,"Quaternary ammonium compounds, chlorine/bleach, latex gloves",Yes,No,,No,,Yes,Table 4- no significant difference in odds of nasal symptoms at work across seniority levels,No,,Yes,self reported physician-diagnosed asthma and nasal symptoms,No,,Yes,"Symptoms and questions relatedto asthma were selected from validated questionnaires,such as those of the European Community RespiratoryHealth Survey (ECRHS) [27], the International Study ofAsthma and Allergies in Childhood (ISAAC) [28] andthe Epidemiological Study of Genetics and Environmentin Asthma (EGEA) [29].",Yes,self reported physician diagnosed asthma,Yes,The prevalence of asthma was 11.2% for physician-diagnosed asthma and 4.4% for new-onset asthma(Table 1). Significantly different physician-diagnosed asthma among occupational roles (Table 1) but not for new-onset asthma.,Higher risk of physician diagnosed asthma in registered and auxiliary nurses as opposed to administrative staff,
2022/05/06 1:21:31 PM MDT,Amanda,Occupational allergy: respiratory hazards in healthcare workers,Wiszniewska,2014,Current Opinion in Allergy & Clinical Immunology,,,,Yes,No,Yes,No,,,No,,,No,,,No,,,Yes,"quaternary ammonium compounds, bleach, glutaraldehyde, ortho-phthalaldehyde, chloramines, ethylene oxide, formalin/formaldehyde, cephalosporins",Yes,No,,No,,No,,No,,Yes,"Review article - lists uses of nonspecific bronchial hyperreactivity, self-administered questionnaires, physical examinations, serial peakflow measurements, sIgE, SICT, assessment of sensitization (skin pric test or specific IgE measurement)",Yes,"Bronchial challenge texts, serial measurements of non-specific bronchial hyperresponsiveness, specific inhalation challenge tests (SICTs) -SICT is gold standard",Yes,Doesn't provide specifics but are available in refs,No,,Yes,"Recently, in a survey among healthcare professionals, the prevalence of work-related asthma symptoms, work-exacerbated asthma (WEA) and occupational asthma was estimated at 3.3, 1.1 and 0.8%, respectively [9].","In a recent study, Gonzalez et al. [19&&] analysed the associations between asthma and occupational exposure to disinfectants, especially to quaternary ammonium compounds (QACs). The authors found that HCWs, particularly nursing professionals, presented an increased risk of reported physician diagnosed asthma and nasal symptoms at work compared with administrative staff working in healthcare sector",
2022/05/06 1:30:53 PM MDT,Amanda,Self-reported occupational exposure to disinfectants and asthma control in U.S. nurses,Le Moual,2015,European Respiratory Journal,U.S.,nurses,,Yes,Yes,Yes,No,,,Yes,Asked about weekly use of disinfectants to clean medical instruments,,No,,,No,,,Yes,"hypochlorine bleach, ammonia, sprays",Yes,No,,No,,No,,No,,Yes,talk about use of ACT to define asthma control,No,,Yes,Asthma Control Test,No,,Yes,"Asthma was controlled (ACT=25) in 32% of nurses and partly controlled (20-24) in 50%; control was poor (16-19) in 12% and very poor (≤15) in 6%. Weekly use of disinfectants to clean medical instruments (18% exposed) was associated with poorly (odds ratio [OR] 1.41; 95%CI: [1.04-1.89]) and very poorly (1.82 [1.27-2.61]) controlled asthma (p-trend 0.001). No association was observed for cleaning surfaces. Self-reported use of hypochlorite bleach (20%, OR 1.24 [0.98-1.82]), ammonia (1%, 3.16 [1.11-8.99]) and sprays (18%, 1.42 [1.06-1.90]) were associated with poor control (ACT<20).",,
2022/05/06 1:33:45 PM MDT,Amanda,Job-task-exposure matrices to assess occupational exposure to disinfectants among U.S. nurses,Quinot,2015,European Respiratory Journal,U.S.,nurses,,Yes,Yes,No,No,,,Yes,"A JEM was created based on the frequency (1-3, >4 days/week) of reported use of 8 disinfectants in 8 nursing jobs. Nurses reported weekly disinfection tasks to clean instruments (21%) and surfaces (54%). Alcohol (weekly use: 39%), bleach (22%) and sprays (19%) were the most frequently used; ",,No,,,No,,,Yes,"bleach, alcohol, sprays",No,No,,No,,No,,No,,No,,No,,No,,No,,No,,,
2022/05/06 1:38:41 PM MDT,Amanda,Sensitization to detergent enzymes in healthcare workers,Sava,2014,American Journal of Respiratory and Critical Care Medicine,Canada,workers in sterilization department and endoscopy department,,Yes,No,No,No,,,No,,,No,,,No,,,Yes,"subtilisin, Medzyme",No,No,,No,,No,,No,,Yes,Occupational-Asthma-Screening-Questionnaire-11-items,Yes,"Methacholine challenge, sputum induction and measure of exhaled nitric oxide",Yes,Occupational-Asthma-Screening-Questionnaire-11-items,No,,Yes,None of the sensitized workers had asthma,,
2022/05/06 1:46:07 PM MDT,Amanda,Cleaning-related chemicals and work-related asthma in healthcare professionals,Arif,2011,Am J Respir Crit Care Med,U.S.,licensed healthcare professionals,,Yes,No,Yes,No,,,No,,,No,,,Yes,"In addition, a dose response pattern was observed for associations between frequency of cleaning related exposures at the longest held job and WRAS and WEA",,Yes,"formalin/formaldehyde, cleaners used in restrooms and toilets, bleach, disinfectants, chloramines",Yes,Yes,"In addition, a dose response pattern was observed for associations between frequency of cleaning related exposures at the longest held job and WRAS and WEA",No,,Yes,"In addition, a dose response pattern was observed for associations between frequency of cleaning related exposures at the longest held job and WRAS and WEA",No,,Yes," working definition of asthma in the workplace was constructed with the following non-overlapping categories: work-related asthma symptoms (WRAS), work-exacerbated (WEA), occupational asthma (OA), and none (reference group). (self reported)",No,,Yes,used validated questionnaire (likely the one by Delclos since they are an author on this work as well),Yes,within questionnaire tool,Yes,"The prevalences of WRAS, WEA and OA were 3.3%, 1.1%, and 0.8%, respectively. For self-reported exposure to individual chemical substances, significantly elevated odds of WRAS were observed for the general purpose cleaning (Adjusted OR (AOR)=3.93, 95%CI=1.66-9.32) and instrument cleaning/sterilization (AOR=2.14, 95%CI=1.06-4.32) exposure constructs. For individual cleaning chemicals that form these exposure constructs, the adjusted odds ratio ranged from as low as 1.48 (95%CI: 0.71-3.07) for formalin/formaldehyde to as high as 4.60 (95%CI: 2.12-9.95) for cleaners used in restrooms and toilets. In addition, seven other general cleaning and instrument cleaning chemicals showed significant associations with WRAS. Similarly, the odds of WEA were almost two-fold (AOR=1.91, 95%CI: 0.71-5.15) and more than three-fold (AOR=3.40, 95%CI: 1.35-8.53) higher for general purpose cleaning and the instrument cleaning/sterilization constructs, respectively. Among the individual chemicals, significant associations were found for exposure to bleach (AOR=3.13, 95%CI:1.08-9.08) and formalin/formaldehyde (AOR=2.66, 95%CI:1.03-6.86). Two or more fold non-significantly elevated odds were observed for detergents, chloramines and ethylene oxide. Lastly, the odds of OA were more than three-fold elevated for exposure to bleach (AOR=3.22, 95%CI: 0.63-16.53) and disinfectants (AOR=3.93, 95%CI: 0.75-20.69), and showed an almost five-fold elevated odds of association with exposure to chloramines (AOR=4.81, 95%CI:1.28-18.06). ",,
